admin1,cultivar,nitro,month,r,p,me,mae,rmse
Migori,KY0006,78.63267550998765,3,-0.20690657821661707,0.6562146352705216,0.7932574228571428,0.8464060142857142,0.8464060142857142
Migori,KY0006,78.63267550998765,4,0.05923948465970747,0.8996082970342134,0.7172574228571429,0.8152631571428574,0.8152631571428574
Migori,KY0006,78.63267550998765,5,0.1374990247374333,0.7687747040391518,0.5881145657142858,0.7349774428571428,0.7349774428571428
